Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
1;31.86;24.06;16.75;17.3;2.7;0;3.96;0
2;30.53;24.06;16.75;17.3;2.7;0;3.96;0
3;29.57;24.06;16.75;17.3;2.7;0;3.96;0
4;29.53;24.06;16.75;17.3;2.7;0;3.96;0
5;29.77;24.06;16.75;17.3;2.7;0;3.96;0
6;30.47;24.06;16.75;17.3;2.7;0;3.96;0
7;31.37;24.06;16.75;17.3;2.7;0;3.96;0
8;40.01;24.06;33.49;17.3;2.7;0;3.96;0
9;45.19;24.06;33.49;17.3;2.7;0;3.96;73
10;46.47;24.06;50.24;17.3;2.7;0;3.96;238.01
11;46.29;24.06;50.24;17.3;2.7;0;3.96;374.01
12;44.49;24.06;50.24;17.3;2.7;0;3.96;459.01
13;43.01;24.06;50.24;17.3;2.7;0;3.96;525.02
14;41.25;24.06;33.49;17.3;2.7;0;3.96;481.01
15;37.97;24.06;33.49;17.3;2.7;0;3.96;355.01
16;36.01;24.06;33.49;17.3;2.7;0;3.96;217.01
17;38.01;24.06;50.24;17.3;2.7;0;3.96;76
18;41.51;24.06;50.24;17.3;2.7;0;3.96;0
19;45.25;24.06;50.24;17.3;2.7;0;3.96;0
20;46.55;24.06;33.49;17.3;2.7;0;3.96;0
21;46.75;24.06;33.49;17.3;2.7;0;3.96;0
22;45.09;24.06;33.49;17.3;2.7;0;3.96;0
23;40.15;24.06;33.49;17.3;2.7;0;3.96;0
0;31.17;23.77;17.07;16.8;3.1;0;6.84;0
1;30.67;23.77;17.07;16.8;3.1;0;6.84;0
2;29.00;23.77;17.07;16.8;3.1;0;6.84;0
3;20.01;23.77;17.07;16.8;3.1;0;6.84;0
4;17.5;23.77;17.07;16.8;3.1;0;6.84;0
5;16.67;23.77;17.07;16.8;3.1;0;6.84;0
6;25.00;23.77;17.07;16.8;3.1;0;6.84;0
7;30.53;23.77;17.07;16.8;3.1;0;6.84;0
8;38.53;23.77;34.14;16.8;3.1;0;6.84;0
9;42.99;23.77;34.14;16.8;3.1;0;6.84;88.01
10;43.52;23.77;51.22;16.8;3.1;0;6.84;255.01
11;44.5;23.77;51.22;16.8;3.1;0;6.84;384.01
12;44.02;23.77;51.22;16.8;3.1;0;6.84;476.01
13;43.85;23.77;51.22;16.8;3.1;0;6.84;520.02
14;43.01;23.77;34.14;16.8;3.1;0;6.84;405.01
15;40.21;23.77;34.14;16.8;3.1;0;6.84;325
16;41.25;23.77;34.14;16.8;3.1;0;6.84;24
17;42.5;23.77;51.22;16.8;3.1;0;6.84;16
18;45.00;23.77;51.22;16.8;3.1;0;6.84;0
19;48.43;23.77;51.22;16.8;3.1;0;6.84;0
20;52.8;23.77;34.14;16.8;3.1;0;6.84;0
21;52.49;23.77;34.14;16.8;3.1;0;6.84;0
22;48.1;23.77;34.14;16.8;3.1;0;6.84;0
23;43.75;23.77;34.14;16.8;3.1;0;6.84;0
0;38.5;24.42;16.83;18.2;3.4;0;7.92;0
1;33.27;24.42;16.83;18.2;3.4;0;7.92;0
2;31.18;24.42;16.83;18.2;3.4;0;7.92;0
3;30.8;24.42;16.83;18.2;3.4;0;7.92;0
4;29.9;24.42;16.83;18.2;3.4;0;7.92;0
5;29.72;24.42;16.83;18.2;3.4;0;7.92;0
6;31.1;24.42;16.83;18.2;3.4;0;7.92;0
7;38.7;24.42;16.83;18.2;3.4;0;7.92;0
8;45.42;24.42;33.66;18.2;3.4;0;7.92;0
9;52.4;24.42;33.66;18.2;3.4;0;7.92;23
10;47.00;24.42;50.49;18.2;3.4;0;7.92;98
11;43.51;24.42;50.49;18.2;3.4;0;7.92;396.01
12;42.1;24.42;50.49;18.2;3.4;0;7.92;488.01
13;40.36;24.42;50.49;18.2;3.4;0;7.92;516.02
14;40.08;24.42;33.66;18.2;3.4;0;7.92;470.01
15;36.81;24.42;33.66;18.2;3.4;0;7.92;409.01
16;32.49;24.42;33.66;18.2;3.4;0;7.92;237.01
17;32.87;24.42;50.49;18.2;3.4;0;7.92;84
18;40.84;24.42;50.49;18.2;3.4;0;7.92;0
19;43.15;24.42;50.49;18.2;3.4;0;7.92;0
20;43.2;24.42;33.66;18.2;3.4;0;7.92;0
21;43.98;24.42;33.66;18.2;3.4;0;7.92;0
22;43.15;24.42;33.66;18.2;3.4;0;7.92;0
23;40.01;24.42;33.66;18.2;3.4;0;7.92;0
0;32.68;24.76;16.62;18.8;5.3;0;7.92;0
1;30.87;24.76;16.62;18.8;5.3;0;7.92;0
2;29.48;24.76;16.62;18.8;5.3;0;7.92;0
3;26.86;24.76;16.62;18.8;5.3;0;7.92;0
4;25.71;24.76;16.62;18.8;5.3;0;7.92;0
5;26.01;24.76;16.62;18.8;5.3;0;7.92;0
6;27.97;24.76;16.62;18.8;5.3;0;7.92;0
7;31.09;24.76;16.62;18.8;5.3;0;7.92;0
8;40.25;24.76;33.25;18.8;5.3;0;7.92;0
9;43.8;24.76;33.25;18.8;5.3;0;7.92;61
10;43.19;24.76;49.87;18.8;5.3;0;7.92;209
